Name,Score
C:\Users\cjfgh\vscode\LG-CNS\stage\TEST_K50_1.json,3634.72
C:\Users\cjfgh\vscode\LG-CNS\stage\TEST_K50_2.json,4036.644
C:\Users\cjfgh\vscode\LG-CNS\stage\TEST_K100_1.json,3486.7599999999993
C:\Users\cjfgh\vscode\LG-CNS\stage\TEST_K100_2.json,3596.9239999999995
C:\Users\cjfgh\vscode\LG-CNS\stage\TEST_K200_1.json,3261.174499999999
C:\Users\cjfgh\vscode\LG-CNS\stage\TEST_K200_2.json,3198.3380000000006
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_1.json,3590.5760000000005
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_2.json,3209.3419999999996
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_3.json,3046.6525
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_4.json,2641.7279999999987
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_5.json,2242.7030000000013
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_6.json,2405.1583333333333
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_7.json,3397.636
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_8.json,3119.1539999999995
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_9.json,3117.67
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_10.json,2477.5880000000006
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_11.json,2572.2773333333334
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_12.json,2345.8316666666665
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_13.json,4920.616
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_14.json,4087.808
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_15.json,4299.9315
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_16.json,3306.223000000001
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_17.json,3536.245333333333
C:\Users\cjfgh\vscode\LG-CNS\stage\STAGE1_18.json,3467.263666666667
