Name,Score
C:\Users\hsh80\Desktop\LG CNS\alg_test_problems_20240429\TEST_K50_1.json,3591.782
C:\Users\hsh80\Desktop\LG CNS\alg_test_problems_20240429\TEST_K50_2.json,4036.644
C:\Users\hsh80\Desktop\LG CNS\alg_test_problems_20240429\TEST_K100_1.json,3460.855
C:\Users\hsh80\Desktop\LG CNS\alg_test_problems_20240429\TEST_K100_2.json,3575.623
C:\Users\hsh80\Desktop\LG CNS\alg_test_problems_20240429\TEST_K200_1.json,3322.3
C:\Users\hsh80\Desktop\LG CNS\alg_test_problems_20240429\TEST_K200_2.json,3221.3884999999996
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_1.json,3699.218
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_2.json,3299.9400000000005
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_3.json,3046.2934999999998
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_4.json,2614.727
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_5.json,2253.934
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_6.json,2422.5680000000007
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_7.json,3384.7220000000007
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_8.json,3097.05
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_9.json,3112.486
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_10.json,2483.9555000000005
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_11.json,2497.578666666667
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_12.json,2346.161333333333
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_13.json,4929.916
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_14.json,4174.706
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_15.json,4298.934499999999
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_16.json,3339.7669999999994
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_17.json,3492.772333333334
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_18.json,3465.525000000001
