Name,8-1_siwoo_base.csv,8-1_siwoo_changed_10to30sec_edge_num_divided_by_10.csv,8-1_siwoo_changed_20sec.csv,8-1_siwoo_changed_20sec_edge_num_divided_by_10.csv,8-1_siwoo_changed_30sec.csv,8-1_siwoo_changed_30sec_no_SA.csv,8-1_siwoo_changed_30sec_OrderCoupleChecked.csv,8-1_siwoo_changed_30sec_OrderCoupleChecked2.csv,8-1_siwoo_changed_30sec_SAAllBundle.csv,8-1_siwoo_changed_40sec.csv,8-2_ch_base.csv,8-2_ch_OrderCoupleChecked.csv,8-2_sw_base.csv,8-2_sw_OrderCoupleChecked.csv,8-3_bundling_opt_ver1.csv,8-3_bundling_opt_ver1_KruskalRandom.csv,8-3_bundling_opt_ver1_KruskalRandom_KCasework.csv,8-3_bundling_opt_ver1_KruskalRandom_KCasework2.csv,8-3_bundling_opt_ver1_KruskalRandom_KCasework_WithoutSA.csv,8-3_bundling_opt_ver2.csv,8-3_bundling_opt_ver2_SAReady_time.csv,8-4_bundling_opt_ver1_5Orders.csv,8-4_bundling_opt_ver1_5Orders2.csv,8-4_bundling_opt_ver1_5Orders3.csv,8-4_bundling_opt_ver1_5Orders3_WalkOpt.csv,8-4_bundling_opt_ver1_5Orders4.csv,8-4_bundling_opt_ver1_5Orders4_WalkOpt.csv,8-4_bundling_opt_ver1_5Orders5.csv,8-4_bundling_opt_ver1_5Orders5_WalkOpt.csv,8-4_bundling_opt_ver1_KruskalDiverseRandom_KCasework.csv,8-4_MP_ver1.csv
TEST_K50_1,3632.726000000001,3642.828,3632.726000000001,3668.46,3632.726,3698.22,3632.726,3632.726000000001,3678.562,3680.396,3584.412,3584.412,3632.726,3632.726000000001,3598.986,3632.466,3573.1620000000003,3573.1620000000003,3596.562,3597.2980000000007,3591.782,3659.066,3634.72,3641.924000000001,3634.72,3549.2400000000007,3641.924,3641.924000000001,3634.72,3564.1220000000008,3590.48
TEST_K50_2,4129.531999999999,4108.114,4039.758,4080.552,4039.758,4039.758,4039.758,4039.758,4039.758,4108.114,4091.314,4111.936,4128.736,4113.35,4039.322,4012.552,4039.322,4021.718,4035.978,4039.322,4039.322,4018.284,4018.284,4036.644,4036.644,4036.644,4036.644,4036.644,4024.286,4005.326,4019.4699999999993
TEST_K100_1,3460.855,3476.346999999999,3460.855,3434.7469999999994,3460.855,3460.855,3460.855,3460.855,3460.855,3469.923,3499.851,3478.541,3460.855,3460.855,3460.855,3460.855,3460.855,3460.855,3456.487,3460.855,3460.855,3481.646,3517.811,3470.5760000000005,3501.539,3546.48,3498.492,3473.034,3517.848,3449.761,3460.855
TEST_K100_2,3692.4230000000007,3592.2900000000004,3650.691,3647.662,3542.164,3695.111,3524.632,3491.418,3691.615,3582.8,3537.0990000000006,3556.947,3638.189,3628.829,3470.93,3520.6089999999995,3489.38,3544.781,3561.2209999999995,3529.808,3580.106,3500.1739999999995,3514.291,3590.107,3542.071,3568.157,3561.021,3562.219,3541.0029999999992,3567.876,3513.486
TEST_K200_1,3326.7114999999985,3319.7615,3331.924999999999,3241.913500000001,3350.9639999999995,3416.108,3238.613,3253.614,3396.2015,3375.4165,3317.7534999999984,3293.8375,3346.0315,3329.6979999999994,3260.9825,3297.2024999999994,3228.13,3303.778,3307.812,3280.2944999999995,3262.922499999999,3367.1675,3374.789,3256.347,3271.0060000000003,3261.8610000000003,3259.9359999999992,3238.632,3247.458999999999,3247.563,3247.7635
TEST_K200_2,3254.7855,3137.5644999999995,3300.7024999999994,3208.3665,3230.136000000001,3317.4260000000004,3210.3845,3183.2164999999995,3259.8825,3282.415,3241.1865000000003,3227.1295,3238.7415,3218.67,3197.3485000000005,3155.9005,3134.8600000000006,3217.948999999999,3224.8655,3239.9785,3232.6335,3218.8535,3254.244999999999,3173.8414999999995,3219.9755,3253.1035,3233.5935,3224.9475000000007,3234.425,3195.6354999999994,3173.1355
STAGE1_1,3641.67,3694.237999999999,3709.888,3652.714,3699.218,3752.5100000000007,3699.218,3699.218,3716.944,3667.71,3704.921999999999,3663.882,3700.361,3651.684,3684.59,3655.564,3693.902,3651.484000000001,3717.914,3710.476,3719.242,3736.505000000001,3676.778,3677.706,3677.359999999999,3682.168,3667.604,3667.604,3677.706,3682.27,3699.218
STAGE1_2,3350.732,3344.2500000000005,3301.211,3369.042,3314.79,3348.8740000000003,3310.6560000000004,3292.888,3259.5199999999995,3352.191,3363.9840000000004,3305.296,3311.6180000000004,3368.73,3301.64,3272.5959999999995,3287.508,3252.802,3290.542,3288.9110000000005,3296.302,3358.365,3302.344,3245.44,3240.1459999999997,3232.636,3299.94,3214.69,3303.8820000000005,3323.59,3245.44
STAGE1_3,3118.59,3077.5155,3110.646,3039.313,3054.2205000000004,3140.8345,3043.3965,3043.3965,3108.384,3103.6185000000005,3113.1489999999994,3075.2255,3118.59,3110.6584999999995,3043.3965,2977.064,3012.7045,3008.0285,2986.052,3039.4835,3045.9614999999994,3066.4050000000007,3069.345,3065.4295,3053.8460000000005,3048.500500000001,3064.572,3034.8559999999998,3039.0160000000005,3033.8140000000003,3027.531
STAGE1_4,2741.2505,2712.948,2650.268999999999,2703.028999999999,2668.566999999999,2693.6929999999998,2672.601999999999,2672.740999999999,2677.6749999999997,2773.173,2731.0645,2749.6610000000005,2716.0489999999995,2709.5165,2661.201999999999,2643.8094999999994,2649.9904999999994,2614.211,2642.0785,2668.560999999999,2666.006999999999,2652.362499999999,2655.838,2640.175,2619.148,2637.1869999999994,2666.4279999999994,2652.933,2622.88,2667.6674999999987,2638.66
STAGE1_5,2312.7223333333345,2324.562666666667,2303.8213333333338,2317.777333333333,2324.531666666668,2328.632666666668,2312.3963333333336,2322.881666666668,2317.827,2342.680333333333,2289.806333333333,2296.866666666667,2310.326000000001,2305.562666666668,2295.8810000000008,2286.3113333333336,2289.544333333333,2291.485666666667,2306.0646666666667,2310.009666666668,2322.881666666668,2331.46,2326.776666666667,2262.3183333333336,2253.5543333333344,2252.216666666668,2276.0243333333333,2272.705666666668,2257.7583333333346,2310.670000000001,2257.396333333334
STAGE1_6,2543.6796666666664,2699.8469999999998,2494.0206666666663,2504.8443333333325,2489.769999999999,2614.0813333333326,2492.5736666666658,2479.7606666666657,2808.0069999999987,2845.038999999999,2524.8173333333325,2581.8463333333325,2553.1516666666657,2535.166666666666,2432.357333333333,2478.699666666666,2489.073999999999,2498.3723333333323,2553.760999999999,2425.588666666666,2430.3443333333325,2480.6246666666675,2409.9436666666666,2391.734,2423.4426666666677,2392.0779999999995,2420.053666666667,2433.0106666666675,2416.383333333333,2521.3326666666662,2404.1553333333327
STAGE1_7,3463.3940000000007,3505.1080000000006,3457.894,3402.14,3466.62,3558.836,3404.21,3415.61,3482.432,3517.8780000000006,3415.928,3421.3779999999992,3467.764,3432.3720000000008,3370.4300000000007,3383.7860000000005,3397.488,3420.798,3443.178,3446.447,3437.206,3380.574,3355.502,3370.1180000000004,3384.062000000001,3377.178,3376.8300000000004,3377.4900000000007,3381.474,3414.764,3434.078
STAGE1_8,3252.2700000000004,3260.884,3161.377,3208.393000000001,3167.7130000000006,3268.9390000000008,3157.585,3166.3590000000004,3206.1890000000003,3441.4410000000003,3282.32,3236.384,3240.390000000001,3327.282,3224.63,3140.3720000000003,3183.7460000000005,3161.9519999999998,3165.626,3164.254000000001,3155.4800000000005,3140.96,3143.3459999999995,3112.014,3097.05,3096.2860000000005,3116.66,3108.37,3097.05,3164.9180000000006,3109.134
STAGE1_9,3086.8155,3088.9210000000003,3086.106,3112.486,3036.0115,3119.6810000000005,3074.8135,3086.9555,3092.659999999999,3107.454,3041.527,3061.808,3032.387500000001,3072.2555000000007,3104.433500000001,3065.865,3046.0030000000006,3037.4015000000004,3068.6285,3107.8885000000005,3104.9435000000003,3181.2155,3161.5274999999992,3117.67,3097.7649999999994,3117.67,3094.773999999999,3117.67,3117.67,3072.3725,3041.878
STAGE1_10,2616.858,2653.278999999998,2598.501,2647.610499999999,2587.251,2598.0840000000007,2592.6050000000005,2600.4190000000003,2586.038,2633.06,2603.266,2621.663,2625.4710000000005,2625.4710000000005,2564.7715,2542.3695,2551.0020000000004,2588.794,2583.3465,2571.8365,2571.8365,2479.1949999999997,2454.8365000000003,2480.1705000000006,2494.0465000000004,2481.01,2476.8595000000005,2496.6385000000005,2483.992,2593.925,2506.244
STAGE1_11,2543.673666666668,2541.372000000001,2542.0710000000013,2517.541,2541.2703333333347,2543.965666666668,2477.2033333333334,2471.554,2541.2703333333347,2521.725666666667,2506.8060000000005,2477.9720000000016,2535.199000000001,2509.993000000001,2488.378,2488.378,2488.1263333333336,2477.875666666667,2485.3906666666667,2489.0893333333333,2487.3546666666666,2547.8233333333333,2570.317333333334,2557.285666666667,2585.724666666667,2561.084000000001,2593.654,2573.584666666668,2573.7413333333343,2494.2926666666667,2469.936
STAGE1_12,2525.556,2707.1383333333333,2713.6863333333336,2725.3316666666665,2465.2180000000003,2513.0070000000005,2458.893333333333,2455.891666666667,2678.786333333333,2611.857666666667,2553.345,2609.597666666667,2564.4573333333337,2512.7013333333325,2433.0686666666666,2463.641,2444.145666666667,2448.921333333333,2507.6316666666667,2426.371,2441.936,2438.050666666667,2353.2033333333334,2335.199666666667,2345.5576666666666,2354.451,2337.076666666667,2333.5603333333333,2342.217333333333,2467.9240000000004,2340.45
STAGE1_13,5010.924,4988.884,4993.047999999999,4981.129999999999,4993.267999999999,4993.267999999999,4985.172,4946.676,4993.047999999999,5071.73,5087.657999999999,5080.43,5010.924,4974.219999999999,4948.965999999999,4898.058,4898.058,4898.058,4898.058,4951.565999999999,4951.565999999999,4954.27,4971.968,4927.071999999999,4938.41,4938.41,4929.916,4938.41,4938.41,4896.078,4948.965999999999
STAGE1_14,4217.440999999999,4242.635,4206.717,4136.7390000000005,4213.710999999999,4280.268999999999,4209.311000000001,4221.761,4251.489,4228.079000000001,4255.609,4177.78,4201.647,4209.311,4174.706,4226.757,4174.706,4122.234,4178.752,4174.706,4178.752,4186.342,4105.033999999999,4073.838,4096.604,4099.962,4095.862,4085.314,4099.962,4161.932,4150.432
STAGE1_15,4229.27,4400.664499999999,4317.6225,4289.740999999999,4294.533999999999,4410.554999999999,4281.427999999999,4220.712,4301.941999999998,4290.655999999999,4269.594000000001,4250.491999999999,4277.750499999999,4244.503,4255.1195,4281.785499999998,4284.221499999999,4263.136499999999,4280.7075,4317.514999999999,4307.117499999999,4267.53,4308.488,4285.0655,4267.858999999999,4272.218999999998,4263.727,4269.335999999999,4326.238999999999,4229.023499999999,4248.8925
STAGE1_16,3353.415,3338.8125,3342.4495,3338.539,3339.767,3344.079499999999,3339.767,3330.205,3337.231,3353.8515000000007,3345.251,3350.284000000001,3353.415,3353.415,3321.028,3280.927,3298.3475000000008,3285.0775,3289.4574999999995,3343.2055,3339.767,3274.4405000000006,3274.4405000000006,3323.1450000000004,3323.1450000000004,3305.0880000000006,3291.7830000000004,3293.6690000000003,3323.1450000000004,3315.2825,3254.969000000001
STAGE1_17,3553.4696666666678,3494.585,3531.329666666667,3496.182,3488.568333333333,3513.7473333333323,3500.0216666666665,3485.2526666666668,3484.898333333333,3520.866,3577.420000000001,3522.393666666665,3535.4216666666666,3498.0129999999995,3497.4456666666665,3490.827666666665,3481.238333333333,3471.008666666667,3501.2616666666668,3504.9866666666667,3504.9866666666667,3521.195,3514.2606666666675,3509.627666666666,3539.265,3529.043666666666,3517.629666666667,3510.9813333333336,3539.649666666667,3494.7829999999994,3482.3263333333343
STAGE1_18,3644.903333333333,3681.140333333333,3629.6673333333338,3666.8359999999993,3554.958666666667,3644.8086666666654,3558.397666666666,3567.761000000001,3614.161333333333,3702.788000000001,3668.469000000001,3640.8646666666673,3634.2916666666674,3646.922333333334,3557.7366666666667,3539.390333333333,3502.479,3488.274,3591.455333333334,3579.045000000001,3568.942333333334,3586.5146666666665,3499.955333333334,3498.4540000000006,3501.0606666666663,3473.426,3497.7833333333333,3454.2120000000004,3492.4020000000005,3562.269,3488.1620000000003
